id,title,contact,action,poker_1,poker_2,stonk_count,gun_count,effect_text,banco_1,banco_2,banco_3,notes
1,TRY AGAIN,artisti,acquistare,verde,blu,2,2,"Manda in prigione un tuo criminale che ha acquistato",,,,PLACEHOLDER
2,SCAM,artisti,vendere,verde,grigio,4,0,"Vendi una merce al prezzo della più cara",,,,PLACEHOLDER
3,RARE STUFF,artisti,acquistare,verde,arancione,2,2,"Dopo l'acquisto il prezzo sale di uno in più",,,,PLACEHOLDER
4,FAST TRACK,artisti,acquistare,blu,grigio,3,1,"Acquista da un altro quartiere dello stesso cliente",,,,PLACEHOLDER
5,HIGH HIGH,artisti,vendere,blu,arancione,3,1,"Manda in prigione un tuo criminale che ha venduto",,,,PLACEHOLDER
6,SCAM,artisti,acquistare,grigio,arancione,2,2,"Acquista una merce al prezzo della meno cara",,,,PLACEHOLDER
7,HARD ACQUIRE,artisti,acquistare,verde,verde,1,3,"Acquisti fino a 3 merci con un criminale",,,,PLACEHOLDER
8,REFILL,artisti,acquistare,blu,blu,2,2,"Prima di acquistare ricarica fino a 3 merci nel quartiere",,,,PLACEHOLDER
9,BARGAIN,artisti,acquistare,grigio,grigio,1,3,"Acquista a -2",,,,PLACEHOLDER
10,CRAVING,artisti,vendere,arancione,arancione,0,4,"Prima di vendere svuota il punto di vendita",,,,PLACEHOLDER
11,BARGAIN,artisti,acquistare,verde,blu,2,2,"Acquista a -2",,,,PLACEHOLDER
12,DELIVERY,artisti,vendere,verde,grigio,4,0,"Vendi in un quartiere adiacente",,,,PLACEHOLDER
13,SPREADING,artisti,vendere,verde,arancione,2,2,"Se riempi il punto di vendita puoi prendere 2 Ganci",,,,PLACEHOLDER
14,SCAM,artisti,acquistare,blu,grigio,3,1,"Acquista una merce al prezzo della meno cara",,,,PLACEHOLDER
15,HARD VEND,artisti,vendere,blu,arancione,3,1,"Vendi fino a 3 merci con un criminale",,,,PLACEHOLDER
16,SCAM,artisti,vendere,grigio,arancione,2,2,"Vendi una merce al prezzo della più cara",,,,PLACEHOLDER
17,EXPRESS,artisti,acquistare,verde,verde,1,3,"Acquista in un quartiere adiacente",,,,PLACEHOLDER
18,CLOSER,artisti,vendere,blu,blu,2,2,"Vendi a +2",,,,PLACEHOLDER
19,CRAVING,artisti,vendere,verde,verde,1,3,"Prima di vendere svuota il punto di vendita",,,,PLACEHOLDER
20,CLOSER,artisti,vendere,arancione,arancione,0,4,"Vendi a +2",,,,PLACEHOLDER
21,FIGHT!!,studenti,muovere,rosa,blu,2,2,"Se vinci una Rissa, rubi una Merce allo sconfitto",,,,PLACEHOLDER
22,FIGHT!!,studenti,muovere,rosa,grigio,4,0,"Se provochi una Rissa, puoi ritirare il dado 2 volte",,,,PLACEHOLDER
